#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Torrens_NODE_1567941_length_605_cov_1.400000_2   -             89 ORF10a.faa           -             96       1.2   18.4   5.8   1   2   7.5e-06         2   17.7   5.3    14    57     3    46     1    67 0.91 # 147 # 413 # 1 # ID=1567941_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.599
Torrens_NODE_1567941_length_605_cov_1.400000_2   -             89 ORF10a.faa           -             96       1.2   18.4   5.8   2   2       2.8   7.7e+05   -0.2   0.0    16    41    50    75    43    84 0.72 # 147 # 413 # 1 # ID=1567941_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.599
Torrens_NODE_2049070_length_533_cov_0.905858_1   -             79 ORF10a.faa           -             96       1.2   18.4   0.7   1   2       3.8     1e+06   -0.6   0.0    20    35    13    28     4    33 0.79 # 1 # 237 # 1 # ID=2049070_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.523
Torrens_NODE_2049070_length_533_cov_0.905858_1   -             79 ORF10a.faa           -             96       1.2   18.4   0.7   2   2   1.3e-05       3.4   16.9   0.8    17    48    32    65    19    69 0.87 # 1 # 237 # 1 # ID=2049070_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.523
Torrens_NODE_1812049_length_566_cov_0.966732_1   -             59 ORF10a.faa           -             96       1.6   18.0   0.1   1   1   6.6e-06       1.8   17.8   0.1    17    48    12    45     4    51 0.88 # 3 # 179 # 1 # ID=1812049_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.610
Torrens_NODE_4486053_length_386_cov_1.048338_2   -             55 ORF10a.faa           -             96       1.7   18.0   1.0   1   1   6.8e-06       1.9   17.8   1.0    23    55    19    54     7    54 0.78 # 165 # 329 # 1 # ID=4486053_2;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.448
Torrens_NODE_859755_length_803_cov_1.279412_2    -             97 ORF10a.faa           -             96       2.1   17.7   0.3   1   1   1.1e-05       2.9   17.2   0.3    10    59    12    61     6    64 0.79 # 359 # 649 # -1 # ID=859755_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.674
Torrens_NODE_6150591_length_337_cov_1.187943_1   -            111 ORF10a.faa           -             96       2.1   17.6   0.7   1   2   4.6e-05        12   15.2   0.3    22    61    32    73    11    91 0.71 # 3 # 335 # -1 # ID=6150591_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.676
Torrens_NODE_6150591_length_337_cov_1.187943_1   -            111 ORF10a.faa           -             96       2.1   17.6   0.7   2   2      0.54   1.5e+05    2.1   0.0    15    41    81   105    67   110 0.73 # 3 # 335 # -1 # ID=6150591_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.676
Torrens_NODE_1249375_length_673_cov_1.116505_1   -            223 ORF10a.faa           -             96       2.6   17.3   1.0   1   2         9   2.4e+06   -1.8   0.0    55    73   136   154   127   162 0.77 # 3 # 671 # -1 # ID=1249375_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.720
Torrens_NODE_1249375_length_673_cov_1.116505_1   -            223 ORF10a.faa           -             96       2.6   17.3   1.0   2   2   2.1e-05       5.6   16.3   0.7    17    68   164   217   150   223 0.80 # 3 # 671 # -1 # ID=1249375_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.720
Torrens_NODE_643006_length_923_cov_1.682028_2    -            121 ORF10a.faa           -             96       2.7   17.3   1.5   1   1     1e-05       2.8   17.2   0.7    12    80     2    70     1    84 0.90 # 561 # 923 # 1 # ID=643006_2;partial=01;start_type=GTG;rbs_motif=GGGGG;rbs_spacer=13bp;gc_cont=0.628
Torrens_NODE_3006831_length_443_cov_41.059278_1  -             79 ORF10a.faa           -             96         3   17.1   0.4   1   1   1.3e-05       3.5   16.9   0.4    23    77    20    74     9    77 0.83 # 205 # 441 # 1 # ID=3006831_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.641
Torrens_NODE_1294938_length_661_cov_4.354785_2   -             72 ORF10a.faa           -             96       3.9   16.8   1.1   1   1   1.7e-05       4.5   16.6   1.1    18    60    21    63     6    68 0.90 # 195 # 410 # 1 # ID=1294938_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
Torrens_NODE_2884_length_10204_cov_72.499064_1   -             82 ORF10a.faa           -             96         4   16.7   0.8   1   1     2e-05       5.4   16.3   0.8    19    77    16    74     5    78 0.81 # 3 # 248 # -1 # ID=2884_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.646
Torrens_NODE_3659088_length_414_cov_1.086351_2   -             91 ORF10a.faa           -             96         5   16.4   0.2   1   1   2.3e-05       6.3   16.1   0.2    12    48    40    77    23    83 0.83 # 142 # 414 # -1 # ID=3659088_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.509
Torrens_NODE_5940584_length_343_cov_1.152778_1   -             56 ORF10a.faa           -             96       5.7   16.2   0.8   1   1   2.3e-05       6.4   16.1   0.8    21    55    17    54     5    55 0.80 # 119 # 286 # 1 # ID=5940584_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.458
Torrens_NODE_599320_length_954_cov_3.329255_2    -            228 ORF10a.faa           -             96       5.9   16.2   0.5   1   1   3.7e-05       9.9   15.5   0.5    15    70    39    94    29   111 0.92 # 269 # 952 # 1 # ID=599320_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.485
Torrens_NODE_3143391_length_436_cov_1.522310_1   -            145 ORF10a.faa           -             96       6.1   16.1   0.8   1   1   3.6e-05       9.8   15.5   0.8    10    48    98   137    93   143 0.83 # 1 # 435 # -1 # ID=3143391_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.729
Torrens_NODE_5013892_length_370_cov_1.025397_1   -             94 ORF10a.faa           -             96       6.2   16.1   0.5   1   1   2.6e-05         7   15.9   0.5    14    56    17    60     9    94 0.77 # 1 # 282 # -1 # ID=5013892_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.621
Torrens_NODE_1305912_length_659_cov_1.281457_1   -            219 ORF10a.faa           -             96       6.3   16.1   3.0   1   3       8.3   2.2e+06   -1.7   0.0     6    34    46    74    41    88 0.54 # 1 # 657 # -1 # ID=1305912_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.645
Torrens_NODE_1305912_length_659_cov_1.281457_1   -            219 ORF10a.faa           -             96       6.3   16.1   3.0   2   3    0.0018     5e+02   10.0   0.4    31    47   100   116    78   125 0.80 # 1 # 657 # -1 # ID=1305912_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.645
Torrens_NODE_1305912_length_659_cov_1.281457_1   -            219 ORF10a.faa           -             96       6.3   16.1   3.0   3   3     0.041   1.1e+04    5.7   0.0     5    57   130   178   126   199 0.81 # 1 # 657 # -1 # ID=1305912_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.645
Torrens_NODE_1431115_length_631_cov_1.605903_1   -             50 ORF10a.faa           -             96       6.4   16.1   0.1   1   1   2.4e-05       6.5   16.0   0.1    27    70     2    47     1    49 0.86 # 3 # 152 # 1 # ID=1431115_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.427
Torrens_NODE_4963801_length_371_cov_1.237342_1   -            123 ORF10a.faa           -             96       6.5   16.1   0.6   1   1     3e-05       8.1   15.8   0.6    23    76    32    86     9   109 0.75 # 1 # 369 # -1 # ID=4963801_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
